suj,bloc,StimDiff,cue,attend,correct,rt
p001,early,0.068,pre,second,1,0.773422002792358
p001,early,0.068,retro,second,0,0.564945936203003
p001,early,0.068,retro,second,0,0.806589126586914
p001,early,0.068,pre,first,1,0.366274833679199
p001,early,0.068,retro,second,1,0.446282148361206
p001,early,0.068,pre,first,0,1.38396596908569
p001,early,0.068,pre,first,1,0.388091087341309
p001,early,0.068,pre,second,1,0.666402101516724
p001,early,0.068,retro,first,1,0.330461978912354
p001,early,0.068,pre,second,1,0.862905979156494
p001,early,0.068,retro,first,0,0.288588047027588
p001,early,0.068,pre,first,1,0.782971143722534
p001,early,0.068,pre,first,1,0.479828119277954
p001,early,0.068,pre,second,1,0.350200176239014
p001,early,0.068,pre,second,1,0.363179922103882
p001,early,0.068,retro,second,1,0.424608945846558
p001,early,0.068,retro,second,1,0.346883058547974
p001,early,0.068,retro,first,1,0.530450820922852
p001,early,0.068,retro,first,0,1.06405186653137
p001,early,0.068,pre,first,0,0.298772096633911
p001,early,0.068,retro,second,1,0.56351900100708
p001,early,0.068,retro,second,1,0.561093807220459
p001,early,0.068,pre,second,1,2.30195689201355
p001,early,0.068,pre,second,1,0.522194147109985
p001,early,0.068,retro,first,1,0.479327917098999
p001,early,0.068,retro,second,1,0.453804969787598
p001,early,0.068,retro,first,1,0.741376876831055
p001,early,0.068,pre,second,1,0.441535949707031
p001,early,0.068,retro,first,1,0.585139036178589
p001,early,0.068,retro,first,0,0.47347092628479
p001,early,0.068,pre,first,1,0.765330791473389
p001,early,0.068,pre,first,1,0.70149302482605
p001,late,0.068,pre,second,1,0.551102876663208
p001,late,0.068,pre,second,1,0.458498001098633
p001,late,0.068,retro,second,0,0.52129602432251
p001,late,0.068,retro,second,1,0.44130277633667
p001,late,0.068,retro,second,1,0.852439880371094
p001,late,0.068,retro,first,0,0.612369060516357
p001,late,0.068,retro,first,1,0.430681228637695
p001,late,0.068,pre,first,0,0.674191951751709
p001,late,0.068,pre,first,0,2.07401394844055
p001,late,0.068,retro,first,1,0.494582176208496
p001,late,0.068,pre,second,1,0.502006053924561
p001,late,0.068,pre,first,0,0.535764932632446
p001,late,0.068,pre,first,1,1.14698600769043
p001,late,0.068,retro,first,0,0.404635906219482
p001,late,0.068,pre,second,0,0.755703926086426
p001,late,0.068,retro,second,1,0.438344955444336
p001,late,0.068,retro,first,0,0.511868000030518
p001,late,0.068,retro,second,1,0.531090974807739
p001,late,0.068,retro,first,0,0.389316082000732
p001,late,0.068,pre,first,1,0.581519842147827
p001,late,0.068,pre,second,1,1.35236597061157
p001,late,0.068,retro,second,1,0.371809959411621
p001,late,0.068,retro,first,0,0.651073932647705
p001,late,0.068,retro,first,1,0.389722108840942
p001,late,0.068,retro,second,1,0.368884086608887
p001,late,0.068,pre,second,0,0.423119068145752
p001,late,0.068,pre,second,0,0.514786958694458
p001,late,0.068,pre,first,1,0.421067953109741
p001,late,0.068,pre,first,0,0.64254903793335
p001,late,0.068,pre,second,0,0.570202827453613
p001,late,0.068,pre,first,1,0.461664915084839
p001,late,0.068,retro,second,1,0.570664167404175
p001,jittered,0.068,pre,first,1,0.353410959243774
p001,jittered,0.068,pre,second,0,0.330391883850098
p001,jittered,0.068,retro,second,1,0.295674085617065
p001,jittered,0.068,pre,first,1,0.396194934844971
p001,jittered,0.068,pre,first,1,0.449656963348389
p001,jittered,0.068,retro,second,0,0.665101051330566
p001,jittered,0.068,retro,first,0,0.566287994384766
p001,jittered,0.068,pre,second,0,0.558173179626465
p001,jittered,0.068,retro,first,1,0.603084087371826
p001,jittered,0.068,pre,second,1,0.438842058181763
p001,jittered,0.068,pre,first,1,0.502226114273071
p001,jittered,0.068,retro,first,0,0.970082998275757
p001,jittered,0.068,retro,second,1,0.5177321434021
p001,jittered,0.068,retro,second,0,0.395127058029175
p001,jittered,0.068,pre,second,1,0.421740055084229
p001,jittered,0.068,pre,second,1,1.6203031539917
p001,jittered,0.068,retro,first,1,0.588619947433472
p001,jittered,0.068,pre,second,1,0.958683013916016
p001,jittered,0.068,retro,first,0,0.333630084991455
p001,jittered,0.068,retro,first,1,0.429811954498291
p001,jittered,0.068,retro,first,1,0.548837184906006
p001,jittered,0.068,retro,second,1,0.491199016571045
p001,jittered,0.068,retro,second,1,0.659616947174072
p001,jittered,0.068,pre,first,1,0.599667072296143
p001,jittered,0.068,pre,second,1,0.588883876800537
p001,jittered,0.068,retro,first,1,0.329560995101929
p001,jittered,0.068,pre,first,1,0.637838840484619
p001,jittered,0.068,pre,second,0,0.865108966827393
p001,jittered,0.068,pre,first,0,0.344326019287109
p001,jittered,0.068,pre,first,1,0.331257104873657
p001,jittered,0.068,retro,second,1,0.510042905807495
p001,jittered,0.068,retro,second,0,1.32312607765198
p001,jittered,0.068,retro,first,0,0.477501153945923
p001,jittered,0.068,retro,first,1,0.633257150650024
p001,jittered,0.068,retro,first,1,2.52267503738403
p001,jittered,0.068,retro,second,1,0.77898907661438
p001,jittered,0.068,pre,first,0,0.631703853607178
p001,jittered,0.068,retro,second,1,0.492832899093628
p001,jittered,0.068,pre,second,1,0.550657987594604
p001,jittered,0.068,retro,first,1,0.72828483581543
p001,jittered,0.068,retro,first,0,0.418654918670654
p001,jittered,0.068,pre,second,1,0.424893856048584
p001,jittered,0.068,pre,second,1,0.4598228931427
p001,jittered,0.068,retro,second,1,0.39739990234375
p001,jittered,0.068,pre,first,1,0.381880044937134
p001,jittered,0.068,pre,second,0,0.30471396446228
p001,jittered,0.068,retro,first,1,0.50199818611145
p001,jittered,0.068,pre,second,1,0.457903146743774
p001,jittered,0.068,pre,second,1,1.60933518409729
p001,jittered,0.068,pre,first,1,0.618458032608032
p001,jittered,0.068,retro,first,1,0.711841106414795
p001,jittered,0.068,pre,second,1,0.497828006744385
p001,jittered,0.068,pre,second,0,0.897514820098877
p001,jittered,0.068,retro,second,1,0.567816019058228
p001,jittered,0.068,retro,second,1,0.376737833023071
p001,jittered,0.068,pre,first,0,0.461474895477295
p001,jittered,0.068,pre,first,1,0.438081026077271
p001,jittered,0.068,retro,second,1,0.440070152282715
p001,jittered,0.068,pre,first,1,0.489662170410156
p001,jittered,0.068,pre,first,1,0.517645835876465
p001,jittered,0.068,retro,first,1,0.332107067108154
p001,jittered,0.068,retro,second,1,0.420576810836792
p001,jittered,0.068,retro,second,1,0.419887781143188
p001,jittered,0.068,pre,first,0,1.08811902999878
p002,late,0.126,retro,first,1,0.522596836090088
p002,late,0.126,pre,first,1,0.562888145446777
p002,late,0.126,pre,first,1,0.868966817855835
p002,late,0.126,pre,first,1,0.473725080490112
p002,late,0.126,retro,second,1,0.491750001907349
p002,late,0.126,retro,first,1,0.520522832870483
p002,late,0.126,retro,first,1,0.401060104370117
p002,late,0.126,retro,second,1,0.464364051818848
p002,late,0.126,retro,first,1,0.432034969329834
p002,late,0.126,retro,second,1,0.439001083374023
p002,late,0.126,pre,second,1,0.440419912338257
p002,late,0.126,retro,first,1,0.712399005889893
p002,late,0.126,retro,second,1,0.431308031082153
p002,late,0.126,retro,first,1,0.401679039001465
p002,late,0.126,pre,first,1,0.542030811309814
p002,late,0.126,retro,second,1,0.621933937072754
p002,late,0.126,pre,second,1,1.21434903144836
p002,late,0.126,pre,second,0,0.912292957305908
p002,late,0.126,pre,second,1,0.719558000564575
p002,late,0.126,pre,second,1,0.381141901016235
p002,late,0.126,pre,second,0,1.55878806114197
p002,late,0.126,retro,first,1,0.532540082931519
p002,late,0.126,pre,first,1,0.424087047576904
p002,late,0.126,retro,second,1,0.438503980636597
p002,late,0.126,pre,first,1,0.555869817733765
p002,late,0.126,retro,second,1,0.874190807342529
p002,late,0.126,retro,first,1,0.393378019332886
p002,late,0.126,pre,first,1,0.566497087478638
p002,late,0.126,pre,second,1,1.31527805328369
p002,late,0.126,pre,second,1,0.52505898475647
p002,late,0.126,retro,second,1,0.519484996795654
